epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.2063,1.5615,0.90534,1.19214,0.82159,0.71802,0.79909,0.42652,1.25184,0.84881,1.16495,0.000662879,0.000662879,0.000662879
2,166.045,1.4377,0.74699,1.12889,0.81121,0.7189,0.78693,0.42513,1.2587,0.79285,1.16044,0.00126373,0.00126373,0.00126373
3,244.064,1.40853,0.71847,1.11508,0.82684,0.72279,0.79275,0.42714,1.25596,0.74227,1.14512,0.00179859,0.00179859,0.00179859
4,320.106,1.40908,0.70256,1.10993,0.82517,0.71456,0.79015,0.41665,1.30055,0.73661,1.17126,0.001703,0.001703,0.001703
5,398.256,1.37405,0.67758,1.08719,0.84424,0.72503,0.801,0.42974,1.29442,0.73849,1.17594,0.001604,0.001604,0.001604
6,474.334,1.36345,0.66444,1.10045,0.85416,0.72809,0.80815,0.47025,1.17736,0.70166,1.12065,0.001505,0.001505,0.001505
7,551.19,1.33963,0.64701,1.08148,0.84186,0.73593,0.80878,0.47185,1.17358,0.71685,1.11863,0.001406,0.001406,0.001406
8,626.588,1.32918,0.63004,1.07791,0.85006,0.72664,0.80651,0.4487,1.22125,0.69913,1.13866,0.001307,0.001307,0.001307
9,702.671,1.29766,0.61397,1.06655,0.85121,0.72979,0.80893,0.44561,1.24103,0.69934,1.14774,0.001208,0.001208,0.001208
10,780.326,1.29207,0.60216,1.06332,0.86431,0.72676,0.8132,0.46345,1.18535,0.65651,1.1208,0.001109,0.001109,0.001109
11,860.761,1.26848,0.58953,1.06696,0.86368,0.74546,0.8206,0.46068,1.22044,0.66416,1.14856,0.00101,0.00101,0.00101
12,937.819,1.25503,0.58299,1.0601,0.8516,0.73691,0.81037,0.45916,1.19662,0.67318,1.13666,0.000911,0.000911,0.000911
13,1014.38,1.23677,0.56784,1.05086,0.8616,0.74053,0.81724,0.46043,1.20766,0.65447,1.14412,0.000812,0.000812,0.000812
14,1091.32,1.22484,0.55958,1.04396,0.85422,0.73578,0.80957,0.46931,1.16749,0.65141,1.12299,0.000713,0.000713,0.000713
15,1168.12,1.22357,0.556,1.0456,0.86059,0.73924,0.81649,0.4752,1.17384,0.64284,1.12891,0.000614,0.000614,0.000614
16,1245.62,1.20569,0.54417,1.03831,0.85838,0.73769,0.81294,0.46668,1.16504,0.63809,1.11815,0.000515,0.000515,0.000515
17,1323.19,1.19328,0.53777,1.03216,0.85729,0.73409,0.80955,0.46841,1.16783,0.63664,1.12619,0.000416,0.000416,0.000416
18,1401.08,1.187,0.53172,1.02757,0.8616,0.7381,0.81285,0.46695,1.16821,0.63067,1.12467,0.000317,0.000317,0.000317
19,1477.4,1.17661,0.52544,1.03156,0.86346,0.73686,0.81603,0.47871,1.15259,0.6289,1.11745,0.000218,0.000218,0.000218
20,1552.38,1.16105,0.51518,1.01878,0.86872,0.73583,0.8149,0.4752,1.14748,0.61768,1.11368,0.000119,0.000119,0.000119
