epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2628,1.35261,0.6316,1.10145,0.77628,0.66334,0.73241,0.37821,1.38193,0.87287,1.24937,0.000662879,0.000662879,0.000662879
2,167.36,1.37646,0.66233,1.10417,0.81407,0.66649,0.74908,0.42138,1.27171,1.04374,1.20052,0.00130761,0.00130761,0.00130761
3,247.529,1.38321,0.66575,1.11097,0.8156,0.65927,0.74138,0.41116,1.31728,0.94647,1.21719,0.00193034,0.00193034,0.00193034
4,328.527,1.393,0.67545,1.11661,0.82929,0.64754,0.74825,0.41621,1.31606,0.80318,1.22102,0.001901,0.001901,0.001901
5,408.562,1.34778,0.64714,1.09585,0.84535,0.69169,0.77853,0.44823,1.25326,0.76686,1.17614,0.001868,0.001868,0.001868
6,489.251,1.34003,0.62767,1.08849,0.81039,0.67796,0.76907,0.42707,1.27252,0.76917,1.18076,0.001835,0.001835,0.001835
7,569.146,1.31194,0.61124,1.08051,0.79469,0.69313,0.76137,0.43745,1.26592,0.81715,1.20993,0.001802,0.001802,0.001802
8,647.319,1.29476,0.60506,1.07223,0.83359,0.71455,0.79982,0.46215,1.23452,0.72657,1.18042,0.001769,0.001769,0.001769
9,727.626,1.30238,0.60277,1.07218,0.84835,0.67589,0.76549,0.42574,1.29281,0.78,1.19607,0.001736,0.001736,0.001736
10,807.725,1.27506,0.58311,1.0654,0.81523,0.67279,0.77054,0.4101,1.32827,0.75965,1.21157,0.001703,0.001703,0.001703
11,887.141,1.26141,0.57573,1.06071,0.82585,0.69933,0.79122,0.43222,1.27892,0.74489,1.17696,0.00167,0.00167,0.00167
12,966.69,1.25789,0.57735,1.06177,0.79006,0.6524,0.74672,0.41044,1.29353,0.81116,1.18819,0.001637,0.001637,0.001637
13,1045.96,1.24702,0.57007,1.05155,0.83951,0.70589,0.79741,0.43573,1.26535,0.71792,1.18032,0.001604,0.001604,0.001604
14,1124.82,1.24199,0.5627,1.05457,0.86532,0.69845,0.78908,0.46176,1.18906,0.68629,1.16004,0.001571,0.001571,0.001571
15,1205,1.21682,0.55006,1.04722,0.85347,0.69432,0.7802,0.4492,1.23221,0.71802,1.18193,0.001538,0.001538,0.001538
16,1282.73,1.22527,0.55518,1.04885,0.82302,0.68348,0.76431,0.4276,1.25094,0.73934,1.17622,0.001505,0.001505,0.001505
17,1361.76,1.21238,0.54355,1.04659,0.81915,0.68265,0.77247,0.45095,1.21995,0.74762,1.16051,0.001472,0.001472,0.001472
18,1440.23,1.20532,0.54001,1.03699,0.85228,0.67226,0.75744,0.4422,1.20613,0.71325,1.17006,0.001439,0.001439,0.001439
19,1519.86,1.19741,0.54016,1.03375,0.83489,0.68032,0.77036,0.45515,1.1987,0.74231,1.16177,0.001406,0.001406,0.001406
20,1598.92,1.1969,0.53225,1.0406,0.83788,0.70119,0.78538,0.45887,1.19702,0.74625,1.14999,0.001373,0.001373,0.001373
21,1679.27,1.18638,0.53253,1.0323,0.80251,0.67852,0.76416,0.45394,1.1811,0.75839,1.1474,0.00134,0.00134,0.00134
22,1759.35,1.19119,0.53039,1.02976,0.8354,0.71384,0.78993,0.45088,1.21812,0.68214,1.16433,0.001307,0.001307,0.001307
23,1838.6,1.18241,0.52483,1.02332,0.84188,0.70134,0.78178,0.45018,1.20526,0.69631,1.15541,0.001274,0.001274,0.001274
