epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.853,1.21241,0.49771,1.13105,0.89752,0.80827,0.87147,0.52951,1.1484,0.52029,1.2181,0.00332522,0.00332522,0.00332522
2,513.55,1.23178,0.50742,1.14526,0.88042,0.77712,0.84867,0.49869,1.25842,0.58661,1.28585,0.00659264,0.00659264,0.00659264
3,766.909,1.27489,0.54272,1.16517,0.88359,0.76298,0.8481,0.50417,1.2849,0.60875,1.30608,0.00979405,0.00979405,0.00979405
4,1020.06,1.29985,0.56197,1.17481,0.87541,0.77361,0.84399,0.4837,1.26291,0.6036,1.27836,0.009703,0.009703,0.009703
5,1273.55,1.29574,0.55512,1.1641,0.86782,0.76915,0.84225,0.5024,1.20971,0.58764,1.23379,0.009604,0.009604,0.009604
6,1526.61,1.26269,0.53812,1.15218,0.83988,0.74684,0.82285,0.45548,1.27233,0.59774,1.283,0.009505,0.009505,0.009505
7,1780.15,1.24889,0.53427,1.14639,0.88058,0.78317,0.84849,0.50115,1.19749,0.57156,1.23608,0.009406,0.009406,0.009406
8,2033.63,1.22966,0.52225,1.13108,0.86989,0.77568,0.84357,0.49547,1.19377,0.55999,1.23504,0.009307,0.009307,0.009307
9,2286.49,1.21779,0.5166,1.12761,0.88139,0.76307,0.84345,0.52545,1.14582,0.56454,1.21155,0.009208,0.009208,0.009208
10,2539.66,1.20999,0.51285,1.12323,0.87679,0.75012,0.83197,0.51953,1.14097,0.5591,1.20498,0.009109,0.009109,0.009109
11,2792.79,1.20097,0.50787,1.12268,0.87995,0.76626,0.84487,0.51271,1.15987,0.56331,1.20765,0.00901,0.00901,0.00901
12,3046.05,1.19296,0.50441,1.10979,0.88436,0.78818,0.85862,0.51143,1.15746,0.54144,1.18924,0.008911,0.008911,0.008911
13,3298.89,1.18148,0.49966,1.10714,0.88425,0.76368,0.84408,0.52334,1.13691,0.54663,1.20491,0.008812,0.008812,0.008812
14,3551.72,1.17014,0.49328,1.10837,0.88447,0.78447,0.85855,0.52132,1.13611,0.5407,1.19791,0.008713,0.008713,0.008713
15,3805.07,1.15944,0.4894,1.09963,0.87245,0.77615,0.85147,0.52502,1.12308,0.5474,1.19731,0.008614,0.008614,0.008614
16,4058.81,1.1562,0.48708,1.10165,0.8714,0.77696,0.85328,0.51279,1.14852,0.54302,1.21353,0.008515,0.008515,0.008515
17,4312.55,1.14628,0.48243,1.09512,0.88946,0.78915,0.85835,0.52041,1.13398,0.53165,1.18657,0.008416,0.008416,0.008416
18,4565.39,1.13639,0.47735,1.09596,0.88487,0.78277,0.85682,0.53644,1.11667,0.52747,1.20416,0.008317,0.008317,0.008317
19,4818.32,1.13865,0.47741,1.09708,0.88237,0.7822,0.85733,0.54076,1.09597,0.51976,1.1796,0.008218,0.008218,0.008218
20,5071.69,1.12634,0.47342,1.08338,0.87779,0.769,0.84708,0.52138,1.1097,0.52204,1.19104,0.008119,0.008119,0.008119
21,5325.18,1.12182,0.471,1.08492,0.8878,0.77607,0.85729,0.54373,1.094,0.52428,1.19519,0.00802,0.00802,0.00802
22,5577.99,1.10901,0.46462,1.08662,0.88135,0.77999,0.85525,0.53836,1.10188,0.51751,1.18682,0.007921,0.007921,0.007921
