epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.4382,1.43456,0.66767,1.13064,0.82792,0.73223,0.81723,0.46074,1.31988,0.70764,1.13836,0.00332522,0.00332522,0.00332522
2,176.775,1.44326,0.67431,1.13668,0.81915,0.68726,0.79024,0.4393,1.34226,0.74642,1.13938,0.00659264,0.00659264,0.00659264
3,261.933,1.47254,0.70036,1.15341,0.81638,0.66465,0.76755,0.38502,1.48645,0.78644,1.19716,0.00979405,0.00979405,0.00979405
4,346.7,1.49402,0.71812,1.16244,0.77971,0.61697,0.72589,0.35543,1.53461,0.85369,1.23603,0.009703,0.009703,0.009703
5,431.744,1.48022,0.70799,1.15261,0.81612,0.68625,0.77537,0.4226,1.37774,0.75843,1.17085,0.009604,0.009604,0.009604
6,516.491,1.44854,0.68769,1.14161,0.77804,0.65682,0.74892,0.39915,1.39479,0.78355,1.18256,0.009505,0.009505,0.009505
7,601.56,1.43129,0.6807,1.13181,0.80565,0.63961,0.75581,0.41293,1.3552,0.78471,1.14379,0.009406,0.009406,0.009406
8,686.7,1.41039,0.67021,1.12604,0.80634,0.69437,0.77868,0.42733,1.35535,0.75163,1.16882,0.009307,0.009307,0.009307
9,771.296,1.39629,0.65952,1.12273,0.80181,0.68561,0.77845,0.42343,1.36881,0.77494,1.15755,0.009208,0.009208,0.009208
10,856.023,1.38723,0.65225,1.11641,0.81947,0.66695,0.77116,0.43441,1.31824,0.747,1.13442,0.009109,0.009109,0.009109
11,940.689,1.37834,0.64716,1.1174,0.83165,0.67708,0.78104,0.44795,1.28484,0.74049,1.13018,0.00901,0.00901,0.00901
12,1025.61,1.3705,0.64237,1.10934,0.84006,0.68778,0.78845,0.45177,1.28389,0.71495,1.13861,0.008911,0.008911,0.008911
13,1110.44,1.36011,0.63499,1.10728,0.81255,0.69157,0.78291,0.43389,1.30894,0.72057,1.14116,0.008812,0.008812,0.008812
14,1195.14,1.35322,0.63134,1.10657,0.84625,0.69526,0.79684,0.45457,1.26412,0.69494,1.12164,0.008713,0.008713,0.008713
15,1280.36,1.33977,0.62617,1.1009,0.83038,0.71899,0.8016,0.45972,1.25708,0.68532,1.12465,0.008614,0.008614,0.008614
16,1365.27,1.33469,0.6206,1.09627,0.83445,0.70586,0.80372,0.45723,1.28531,0.69472,1.12677,0.008515,0.008515,0.008515
17,1451.72,1.32899,0.61588,1.0953,0.85532,0.70761,0.80569,0.46827,1.24997,0.67343,1.11489,0.008416,0.008416,0.008416
18,1536.38,1.32292,0.61195,1.09604,0.81683,0.6758,0.78059,0.44668,1.27003,0.72897,1.12226,0.008317,0.008317,0.008317
