epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.74,1.3248,0.5752,1.10258,0.88448,0.77831,0.8558,0.52146,1.16835,0.56764,1.10861,0.00332522,0.00332522,0.00332522
2,265.292,1.31549,0.57377,1.0995,0.85889,0.73134,0.82653,0.49071,1.22928,0.62454,1.13514,0.00659264,0.00659264,0.00659264
3,394.982,1.3475,0.60441,1.11531,0.84165,0.74736,0.82549,0.45536,1.32915,0.65596,1.17608,0.00979405,0.00979405,0.00979405
4,525.221,1.3653,0.62382,1.12353,0.86022,0.7528,0.82713,0.47484,1.28535,0.64383,1.17208,0.009703,0.009703,0.009703
5,655.402,1.35624,0.61359,1.11506,0.86462,0.73772,0.82846,0.47935,1.26067,0.64268,1.15218,0.009604,0.009604,0.009604
6,785.14,1.32748,0.59772,1.10524,0.86789,0.76303,0.84126,0.4926,1.22551,0.62416,1.14005,0.009505,0.009505,0.009505
7,915.27,1.31179,0.59135,1.09719,0.85442,0.75366,0.82977,0.4733,1.25259,0.62361,1.15597,0.009406,0.009406,0.009406
8,1045.2,1.2947,0.57783,1.09318,0.8784,0.73291,0.82571,0.48946,1.20945,0.60697,1.13173,0.009307,0.009307,0.009307
9,1174.43,1.28441,0.57372,1.0893,0.88149,0.7498,0.84066,0.4988,1.20689,0.60571,1.12757,0.009208,0.009208,0.009208
10,1304.14,1.27769,0.5698,1.08291,0.85941,0.70478,0.80325,0.48247,1.21256,0.63632,1.13768,0.009109,0.009109,0.009109
11,1433.65,1.267,0.56348,1.08511,0.87193,0.74555,0.83195,0.49536,1.18421,0.6021,1.12248,0.00901,0.00901,0.00901
12,1563.66,1.25894,0.56218,1.07671,0.88266,0.75428,0.84102,0.50777,1.18854,0.58637,1.1288,0.008911,0.008911,0.008911
13,1693.03,1.2478,0.55442,1.07302,0.88121,0.77066,0.84875,0.51352,1.17948,0.5828,1.12152,0.008812,0.008812,0.008812
14,1822.33,1.23499,0.54798,1.07133,0.888,0.74804,0.84182,0.51141,1.16378,0.59301,1.11363,0.008713,0.008713,0.008713
15,1952.17,1.22828,0.54597,1.06543,0.87528,0.7659,0.84678,0.51068,1.16248,0.58125,1.11054,0.008614,0.008614,0.008614
16,2082.04,1.22196,0.54244,1.06192,0.88945,0.76731,0.85398,0.52047,1.14738,0.57555,1.10687,0.008515,0.008515,0.008515
17,2212.41,1.21348,0.53702,1.05864,0.88863,0.7596,0.84759,0.52131,1.14607,0.57231,1.10556,0.008416,0.008416,0.008416
18,2341.91,1.20544,0.53322,1.05923,0.8781,0.75902,0.84712,0.51079,1.16224,0.58084,1.1074,0.008317,0.008317,0.008317
19,2471.18,1.20781,0.53242,1.0564,0.87876,0.75786,0.84433,0.51864,1.14382,0.57706,1.10852,0.008218,0.008218,0.008218
20,2600.8,1.19494,0.5278,1.05019,0.86472,0.74578,0.83533,0.50987,1.1431,0.58254,1.10168,0.008119,0.008119,0.008119
21,2730.6,1.19169,0.52419,1.05054,0.88305,0.76307,0.84548,0.52218,1.1321,0.55392,1.10475,0.00802,0.00802,0.00802
22,2859.72,1.17835,0.52097,1.04836,0.88205,0.74903,0.83629,0.5134,1.14705,0.56769,1.11314,0.007921,0.007921,0.007921
23,2989.32,1.18156,0.52175,1.04737,0.88109,0.7768,0.85554,0.52522,1.12997,0.54703,1.10136,0.007822,0.007822,0.007822
24,3119.18,1.17359,0.51668,1.04479,0.87752,0.76392,0.84578,0.5252,1.12169,0.55142,1.09928,0.007723,0.007723,0.007723
25,3248.45,1.16428,0.51351,1.04317,0.87092,0.7485,0.83935,0.51771,1.12464,0.56859,1.10062,0.007624,0.007624,0.007624
26,3378.17,1.16066,0.51135,1.03897,0.88556,0.75758,0.84536,0.52397,1.11933,0.55567,1.09801,0.007525,0.007525,0.007525
27,3507.98,1.15269,0.50727,1.03842,0.87325,0.77628,0.85297,0.52341,1.11868,0.55078,1.1009,0.007426,0.007426,0.007426
28,3637.43,1.14811,0.50496,1.03619,0.88757,0.77296,0.85003,0.5303,1.11147,0.53795,1.0971,0.007327,0.007327,0.007327
29,3767.96,1.14863,0.50452,1.03256,0.8824,0.76845,0.84781,0.52663,1.11249,0.54557,1.09891,0.007228,0.007228,0.007228
30,3897.19,1.14092,0.50292,1.0329,0.88172,0.7602,0.84569,0.5265,1.10837,0.55129,1.09521,0.007129,0.007129,0.007129
31,4026.26,1.13299,0.4976,1.03168,0.87466,0.75189,0.83741,0.52388,1.10144,0.55492,1.09245,0.00703,0.00703,0.00703
32,4155.92,1.13169,0.4958,1.03034,0.88528,0.76271,0.84681,0.52638,1.10719,0.55221,1.09502,0.006931,0.006931,0.006931
33,4285.17,1.12412,0.49378,1.025,0.87416,0.73644,0.82988,0.5233,1.09907,0.56038,1.09526,0.006832,0.006832,0.006832
34,4414.16,1.12032,0.49111,1.0248,0.87769,0.75636,0.84154,0.51746,1.12208,0.55215,1.10198,0.006733,0.006733,0.006733
35,4542.98,1.1165,0.49025,1.02671,0.87255,0.75722,0.84349,0.53378,1.08838,0.5466,1.08574,0.006634,0.006634,0.006634
36,4672.75,1.11727,0.48934,1.0229,0.87963,0.76921,0.84845,0.53336,1.09315,0.54323,1.09346,0.006535,0.006535,0.006535
37,4801.87,1.11119,0.48732,1.02126,0.88242,0.7638,0.84535,0.5319,1.08765,0.54102,1.08947,0.006436,0.006436,0.006436
